Training Log
Start Time: 2025-10-15 15:20:57
Num Actors: 16
Horizon Length: 256
Minibatch Size: 128
Mini Epochs: 5
Learning Rate: 3e-4
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 30000
Position Error Threshold: 0.15
Position Error Count: 5
Progress Reward: 0.2
--------------------------------------------------
Current_Step,Max_Reward,Position,Velocity,Quaternion,Angular_Velocity,Timestamp
269,118.001717,2025-10-15 15:22:57,-0.2089294195175171,-0.12202046811580658,-0.037243351340293884,-0.030954446643590927
285,117.663239,2025-10-15 15:22:57,-0.21267709136009216,-0.12249691784381866,-0.037758149206638336,-0.03060067445039749
270,116.973160,2025-10-15 15:22:57,-0.1706882119178772,-0.10594167560338974,-0.03177247941493988,-0.028243977576494217
278,118.362389,2025-10-15 15:22:57,-0.23937082290649414,-0.135613352060318,-0.049048203974962234,-0.04060985893011093
264,138.242188,2025-10-15 15:22:57,-0.2333507388830185,-0.13156317174434662,-0.054272398352622986,-0.04416414722800255
276,187.202866,2025-10-15 15:22:58,-0.22201839089393616,-0.12606202065944672,-0.05515838414430618,-0.04422711208462715
257,186.877335,2025-10-15 15:22:58,-0.14359481632709503,-0.09369885176420212,-0.035067200660705566,-0.03213458135724068
264,177.756607,2025-10-15 15:22:58,-0.2287500947713852,-0.13209578394889832,-0.05404074490070343,-0.04412838816642761
254,170.398468,2025-10-15 15:22:58,-0.1832285374403,-0.1110105961561203,-0.04112519323825836,-0.03558599576354027
253,164.196762,2025-10-15 15:22:58,-0.16785070300102234,-0.10264958441257477,-0.039930567145347595,-0.03346848860383034
270,187.468109,2025-10-15 15:22:58,-0.16614454984664917,-0.10281936824321747,-0.04090550169348717,-0.03345096856355667
260,184.725357,2025-10-15 15:22:59,-0.1678096503019333,-0.10622429847717285,-0.04193972051143646,-0.03503831475973129
256,181.708481,2025-10-15 15:22:59,-0.16588249802589417,-0.10535106062889099,-0.039901912212371826,-0.03379584476351738
264,173.630737,2025-10-15 15:22:59,-0.19725684821605682,-0.11964739859104156,-0.0410151407122612,-0.03431923687458038
270,164.859055,2025-10-15 15:22:59,-0.20105014741420746,-0.12343617528676987,-0.04262726008892059,-0.0359659343957901
