Training Log
Start Time: 2025-10-10 15:38:01
Num Actors: 16
Horizon Length: 256
Minibatch Size: 128
Mini Epochs: 5
Learning Rate: 1e-3
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 10000
Position Error Threshold: 0.15
Max Out Trajectory Steps: 5
--------------------------------------------------
Current_Step,Max_Reward,Timestamp
142,0.825051,2025-10-10 15:38:50
148,0.856465,2025-10-10 15:38:50
148,0.855626,2025-10-10 15:38:50
148,0.855564,2025-10-10 15:38:50
148,0.856745,2025-10-10 15:38:50
148,0.856210,2025-10-10 15:38:50
148,0.857123,2025-10-10 15:38:50
148,0.856988,2025-10-10 15:38:50
148,0.855458,2025-10-10 15:38:50
148,0.855622,2025-10-10 15:38:50
145,0.840536,2025-10-10 15:38:50
148,0.856172,2025-10-10 15:38:51
148,0.856685,2025-10-10 15:38:51
140,0.813405,2025-10-10 15:38:52
143,0.830228,2025-10-10 15:38:52
144,0.835443,2025-10-10 15:38:52
148,0.856308,2025-10-10 15:38:52
148,0.855699,2025-10-10 15:38:52
148,0.855878,2025-10-10 15:38:52
148,0.856079,2025-10-10 15:38:52
148,0.856165,2025-10-10 15:38:52
148,0.856784,2025-10-10 15:38:52
148,0.855900,2025-10-10 15:38:53
148,0.856625,2025-10-10 15:38:53
148,0.856869,2025-10-10 15:38:53
148,0.855989,2025-10-10 15:38:54
145,0.840255,2025-10-10 15:38:54
148,0.855861,2025-10-10 15:38:54
148,0.857029,2025-10-10 15:38:54
148,0.856276,2025-10-10 15:38:54
148,0.857421,2025-10-10 15:38:54
148,0.857095,2025-10-10 15:38:54
148,0.857085,2025-10-10 15:38:54
148,0.855669,2025-10-10 15:38:54
145,0.840262,2025-10-10 15:38:54
148,0.855866,2025-10-10 15:38:54
148,0.856269,2025-10-10 15:38:54
148,0.856621,2025-10-10 15:38:56
143,0.829880,2025-10-10 15:38:56
146,0.845491,2025-10-10 15:38:56
147,0.850694,2025-10-10 15:38:56
148,0.855897,2025-10-10 15:38:56
148,0.856151,2025-10-10 15:38:56
146,0.845536,2025-10-10 15:38:56
148,0.855945,2025-10-10 15:38:56
140,0.813332,2025-10-10 15:38:56
143,0.829739,2025-10-10 15:38:56
148,0.855738,2025-10-10 15:38:57
148,0.855534,2025-10-10 15:38:57
148,0.855948,2025-10-10 15:38:57
148,0.855941,2025-10-10 15:38:57
148,0.856421,2025-10-10 15:38:57
141,0.819512,2025-10-10 15:38:58
148,0.856232,2025-10-10 15:38:58
